Commodity,Category
MEAT AND EDIBLE MEAT OFFAL.,Meat and Fish
"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",Meat and Fish
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",Meat and Fish
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",Dairy Products
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,Vegetables and Fruits
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,Vegetables and Fruits
VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,Vegetables and Fruits
"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",Vegetables and Fruits
"COFFEE, TEA, MATE AND SPICES.",Beverages and Spices
"BEVERAGES, SPIRITS AND VINEGAR.",Beverages and Spices
CEREALS.,Cereals and Starch
"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",Cereals and Starch
PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,Cereals and Starch
"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",Animal or Vegetable Fats and Oils
RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,Animal or Vegetable Fats and Oils
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",Animal or Vegetable Fats and Oils
ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,Animal or Vegetable Fats and Oils
SUGARS AND SUGAR CONFECTIONERY.,Sugars
COCOA AND COCOA PREPARATIONS.,Cocoa Industry
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,Tobacco and Substitutes
"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",Construction
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",Oil and Gases
"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",Chemicals
ORGANIC CHEMICALS,
PHARMACEUTICAL PRODUCTS,Healthcare
"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",Dyes and Paints
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",Perfumes and Cosmetics
"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",Soaps and Detergents
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,Starch and Glues
RUBBER AND ARTICLES THEREOF.,Rubber Articles
"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",Leather Industry
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,Leather Industry
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",Leather Industry
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,Wood based Products
PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,Wood based Products
CORK AND ARTICLES OF CORK.,Wood based Products
"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",Paper Articles
"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",Printed Books and Newspapers
SILK,Textile Industry
"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",Textile Industry
COTTON.,Textile Industry
OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,Textile Industry
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,Textile Industry
SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,Textile Industry
"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",Textile Industry
KNITTED OR CROCHETED FABRICS.,Textile Industry
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",Textile Industry
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",Textile Industry
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,Textile Industry
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",Footwear
"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",Umbrellas
"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.","Stone, Plaster, Cement"
CERAMIC PRODUCTS.,Ceramic and Glass
GLASS AND GLASSWARE.,Ceramic and Glass
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",Stones and Jewellery
IRON AND STEEL,Iron and Steel
ARTICLES OF IRON OR STEEL,Iron and Steel
COPPER AND ARTICLES THEREOF.,Other Metals
NICKEL AND ARTICLES THEREOF.,Other Metals
ALUMINIUM AND ARTICLES THEREOF.,Other Metals
LEAD AND ARTICLES THEREOF.,Other Metals
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,Other Metals
"ORES, SLAG AND ASH.",Iron and Steel
ZINC AND ARTICLES THEREOF.,Other Metals
TIN AND ARTICLES THEREOF.,Other Metals
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",Reactors and Boilers
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",Electrical Machinery
"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",Railway Locomotives
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",Automobiles
"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",Surgical Industry
CLOCKS AND WATCHES AND PARTS THEREOF.,Clocks and Watches
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",Furniture
"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",Games and Sports
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,Explosives and Pyrotechnic Products
ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,Arms and Ammunition
FERTILISERS.,Fertilisers
"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.","Cutlery, Spoons and Forks"
