year,"AIRCRAFT, SPACECRAFT",ARTICLES OF APPAREL ,"COFFEE, TEA, MATE AN",EDIBLE FRUIT AND NUT,ELECTRICAL MACHINERY,FISH AND CRUSTACEANS,IRON AND STEEL,"LAC; GUMS, RESINS AN",MEAT AND EDIBLE MEAT,MISCELLANEOUS CHEMIC,MISCELLANEOUS EDIBLE,MISCELLANEOUS GOODS.,"NUCLEAR REACTORS, BO","OPTICAL, PHOTOGRAPHI",ORGANIC CHEMICALS,PHARMACEUTICAL PRODU,PLASTIC AND ARTICLES,"SHIPS, BOATS AND FLO",TOBACCO AND MANUFACT,VEHICLES OTHER THAN 
2010-01-01,98.54,,123.98,,110.13,,,,,,58.04,34.64,,,39.74,431.93,,225.42,42.35,82.95
2011-01-01,61.9,,139.44,,235.96,,70.48,63.71,,,86.83,,73.51,,,401.1,45.62,,,57.46
2012-01-01,193.62,,139.03,,280.27,,119.94,55.37,,,71.46,,124.08,,,562.46,49.19,,,73.4
2013-01-01,73.98,45.32,117.93,44.72,170.32,,128.14,52.96,,,,,95.88,,,535.89,,,,69.23
2014-01-01,98.07,,109.68,,64.76,63.47,88.07,,,,56.89,,323.4,,55.37,411.16,,,,78.04
2015-01-01,106.52,,115.97,,49.34,,52.6,,,,64.22,,93.83,,53.88,353.83,,,38.7,62.17
2016-01-01,111.53,,124.45,,72.95,58.02,62.21,,,,68.63,,221.13,,94.9,351.05,,,,70.44
2017-01-01,,,139.51,,60.27,80.51,74.2,,50.49,,62.06,,182.42,,143.87,408.93,,,,122.37
2018-01-01,,,121.4,51.51,304.51,76.07,80.99,,,53.61,,,202.24,,149.58,410.21,,,,116.84
2019-01-01,,,115.41,,585.24,102.41,112.99,,64.17,68.42,,,352.19,,205.93,440.34,,,,94.71
2020-01-01,,,103.02,,301.77,83.08,137.88,,,62.99,,,226.98,67.0,267.38,469.99,,,,88.77
2021-01-01,,,94.19,,518.62,119.98,239.82,63.27,,90.51,,,302.45,,230.99,479.51,,,,127.97
